name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
Missing You,Phuong Ly,56,0.669,0.40299999999999997,2,-10.745,1,0.0659,0.5379999999999999,2.22e-05,0.0949,0.111,105.01,242857,2020
My Everything,Tien Tien,44,0.698,0.594,9,-6.1370000000000005,0,0.0316,0.44,0.000233,0.225,0.359,122.066,197740,2015
Nắng Ấm Xa Dần - Onionn Remix,Sơn Tùng M-TP,44,0.815,0.6409999999999999,9,-2.6689999999999996,1,0.0361,0.00907,3.01e-06,0.105,0.66,113.001,190088,2019
Vì Tôi Còn Sống - 3rd Single 2015,Tien Tien,32,0.7240000000000001,0.45399999999999996,0,-7.507999999999999,1,0.0662,0.715,2.61e-06,0.0512,0.456,133.893,237640,2015
Không Làm Gì,Ngọt,28,0.42,0.649,9,-7.355,1,0.0353,0.596,0.0,0.0993,0.33899999999999997,147.845,244574,2016
Ngay Xua Em Den - Original,Anh Khang,39,0.682,0.391,5,-11.343,1,0.0287,0.674,2.5e-06,0.105,0.43700000000000006,105.992,258142,2019
Mân Côi,Linh Cáo,14,0.596,0.4,11,-11.616,1,0.0292,0.5379999999999999,0.000606,0.0846,0.401,179.953,253388,2015
N-Sao?,Suboi,37,0.8809999999999999,0.5710000000000001,4,-9.182,0,0.27399999999999997,0.0955,0.000531,0.0682,0.66,136.075,216001,2018
Chờ Ngày Anh Nhận Ra Em (Mối Tình Đầu Của Tôi OST),Thùy Chi,47,0.5820000000000001,0.45299999999999996,8,-5.968,1,0.0276,0.746,0.0,0.107,0.29100000000000004,133.97899999999998,298881,2019
Lam Moi Toi Ngoi Khong,Hoang Thuy Linh,41,0.866,0.644,9,-7.45,0,0.0479,0.777,0.00577,0.429,0.7879999999999999,122.976,194645,2019
When You Look at Me,Obito,41,0.851,0.57,5,-6.955,0,0.0467,0.431,0.0,0.14,0.721,139.982,202290,2019
Anh Mo - Original,Anh Khang,35,0.599,0.33,5,-12.12,1,0.0274,0.856,0.00024900000000000004,0.14,0.154,101.962,269453,2019
